id,city_area,city_name,state_name,country_name,zipcode,created_by
366,Odhav GIDC,Ahmedabad,Gujarat,India,382415,1
367,Odhav Industrial Estate,Ahmedabad,Gujarat,India,382415,1
368,Ogan,Ahmedabad,Gujarat,India,382150,1
369,Ognaj,Ahmedabad,Gujarat,India,380060,1
370,Otaria,Ahmedabad,Gujarat,India,382463,1
371,Otaria Sarvodaya Ashram,Ahmedabad,Gujarat,India,382463,1
372,Padana,Ahmedabad,Gujarat,India,382460,1
373,Paldi,Ahmedabad,Gujarat,India,380007,1
375,Paldi Kankaj,Ahmedabad,Gujarat,India,382425,1
376,Panar,Ahmedabad,Gujarat,India,382140,1
377,Panchham,Ahmedabad,Gujarat,India,382465,1
378,Panchhi,Ahmedabad,Gujarat,India,382455,1
379,Pandharpura,Ahmedabad,Gujarat,India,382140,1
380,Parabadi,Ahmedabad,Gujarat,India,382250,1
381,Pardhol,Ahmedabad,Gujarat,India,382330,1
382,Pasunj,Ahmedabad,Gujarat,India,382430,1
383,Pimpan,Ahmedabad,Gujarat,India,382110,1
384,Piplaj,Ahmedabad,Gujarat,India,382315,1
385,Pipli,Ahmedabad,Gujarat,India,382465,1
386,Pirana,Ahmedabad,Gujarat,India,382405,1
387,Pisawada,Ahmedabad,Gujarat,India,382265,1
388,Polarpur,Ahmedabad,Gujarat,India,382250,1
389,Polytechnic,Ahmedabad,Gujarat,India,380015,1
390,Prahlad Nagar,Ahmedabad,Gujarat,India,380015,1
391,Public Office,Ahmedabad,Gujarat,India,380016,1
392,Rahemalpur,Ahmedabad,Gujarat,India,382150,1
393,Raikhad,Ahmedabad,Gujarat,India,380001,1
394,Railway Colony,Ahmedabad,Gujarat,India,380019,1
395,Railwaypura,Ahmedabad,Gujarat,India,380002,1
396,Raipur,Ahmedabad,Gujarat,India,380001,1
397,Rajoda,Ahmedabad,Gujarat,India,382220,1
398,Rajpur Gomtipur,Ahmedabad,Gujarat,India,380021,1
399,Rajpura,Ahmedabad,Gujarat,India,382245,1
400,Rakhial,Ahmedabad,Gujarat,India,380023,1
401,Rakhial Udyog Vistar,Ahmedabad,Gujarat,India,380023,1
402,Rakhiana,Ahmedabad,Gujarat,India,382130,1
403,Ramol,Ahmedabad,Gujarat,India,382449,1
404,Rampur,Ahmedabad,Gujarat,India,382225,1
405,Rampura,Ahmedabad,Gujarat,India,382450,1
406,Rampura,Ahmedabad,Gujarat,India,382140,1
407,Ranesar,Ahmedabad,Gujarat,India,382220,1
408,Rangpur,Ahmedabad,Gujarat,India,382150,1
409,Ranip,Ahmedabad,Gujarat,India,382480,1
410,Ranoda,Ahmedabad,Gujarat,India,382225,1
411,Ranodra,Ahmedabad,Gujarat,India,382433,1
412,Ranpur,Ahmedabad,Gujarat,India,382245,1
413,Rasam,Ahmedabad,Gujarat,India,382220,1
414,Rayka,Ahmedabad,Gujarat,India,382460,1
415,Raysan,Ahmedabad,Gujarat,India,382421,1
416,Refda,Ahmedabad,Gujarat,India,382255,1
417,Rethal,Ahmedabad,Gujarat,India,382110,1
418,Revdibazar,Ahmedabad,Gujarat,India,380002,1
419,Ribadi,Ahmedabad,Gujarat,India,382130,1
420,Rohika,Ahmedabad,Gujarat,India,382230,1
421,Rojid,Ahmedabad,Gujarat,India,382450,1
422,Rojka,Ahmedabad,Gujarat,India,382460,1
423,Ropda,Ahmedabad,Gujarat,India,382230,1
424,Rudatal,Ahmedabad,Gujarat,India,382120,1
425,Rupal,Ahmedabad,Gujarat,India,382220,1
426,Rupgadh,Ahmedabad,Gujarat,India,382240,1
427,S A C,Ahmedabad,Gujarat,India,380015,1
428,S A Mills,Ahmedabad,Gujarat,India,380008,1
429,Sabarmati,Ahmedabad,Gujarat,India,380005,1
430,Sachana,Ahmedabad,Gujarat,India,382150,1
431,Sadatpura,Ahmedabad,Gujarat,India,382120,1
432,Sahij,Ahmedabad,Gujarat,India,382225,1
433,Saijpur,Ahmedabad,Gujarat,India,382405,1
434,Saijpur Bogha,Ahmedabad,Gujarat,India,382345,1
435,Saiwada,Ahmedabad,Gujarat,India,382225,1
436,Salajada,Ahmedabad,Gujarat,India,382220,1
437,Salangpur Hanuman,Ahmedabad,Gujarat,India,382450,1
438,Salasar,Ahmedabad,Gujarat,India,382460,1
439,Sanand,Ahmedabad,Gujarat,India,382110,1
440,Sanathal,Ahmedabad,Gujarat,India,382210,1
441,Sandhida,Ahmedabad,Gujarat,India,382455,1
442,Sangasar,Ahmedabad,Gujarat,India,382463,1
443,Sangpura,Ahmedabad,Gujarat,India,382120,1
444,Sankod,Ahmedabad,Gujarat,India,382220,1
445,Sarandi,Ahmedabad,Gujarat,India,382225,1
446,Saraspur,Ahmedabad,Gujarat,India,380018,1
447,Sardarnagar,Ahmedabad,Gujarat,India,382475,1
448,Sargwala,Ahmedabad,Gujarat,India,382230,1
449,Sari,Ahmedabad,Gujarat,India,382220,1
450,Sarkhej,Ahmedabad,Gujarat,India,382210,1
451,Sarkhej GIDC,Ahmedabad,Gujarat,India,382210,1
452,Sarkhej Road,Ahmedabad,Gujarat,India,380007,1
453,Saroda,Ahmedabad,Gujarat,India,382260,1
454,Sarsavadi,Ahmedabad,Gujarat,India,382150,1
455,Satellite,Ahmedabad,Gujarat,India,380015,1
456,Sathal,Ahmedabad,Gujarat,India,382225,1
457,Science City,Ahmedabad,Gujarat,India,380060,1
458,Shah Alam Roza,Ahmedabad,Gujarat,India,380028,1
459,Shahibag,Ahmedabad,Gujarat,India,380004,1
460,Shahibaug,Ahmedabad,Gujarat,India,380004,1
461,Shahpur,Ahmedabad,Gujarat,India,382150,1
462,Shahpur,Ahmedabad,Gujarat,India,382250,1
463,Shahpur Ahmedabad,Ahmedabad,Gujarat,India,380004,1
464,Shahwadi,Ahmedabad,Gujarat,India,382405,1
465,Shardanagar,Ahmedabad,Gujarat,India,380007,1
466,Shastrinagar Ahmedabad,Ahmedabad,Gujarat,India,380013,1
467,Shela,Ahmedabad,Gujarat,India,380058,1
468,Sher,Ahmedabad,Gujarat,India,382130,1
469,Sherpura,Ahmedabad,Gujarat,India,382225,1
470,Shilaj,Ahmedabad,Gujarat,India,380059,1
471,Shivpura,Ahmedabad,Gujarat,India,382140,1
472,Shivranjani,Ahmedabad,Gujarat,India,382455,1
473,Shiyal,Ahmedabad,Gujarat,India,382230,1
474,Siawada,Ahmedabad,Gujarat,India,382170,1
475,Sihor,Ahmedabad,Gujarat,India,382140,1
476,Simej,Ahmedabad,Gujarat,India,382265,1
477,Sinaj,Ahmedabad,Gujarat,India,382120,1
