id,city_area,city_name,state_name,country_name,zipcode,created_by
339,Naroda I E,Ahmedabad,Gujarat,India,382330,1
340,Naroda Road,Ahmedabad,Gujarat,India,382345,1
341,Naroda S A,Ahmedabad,Gujarat,India,382330,1
342,Narol,Ahmedabad,Gujarat,India,382405,1
343,Nava Naroda,Ahmedabad,Gujarat,India,382330,1
344,Nava Vadaj,Ahmedabad,Gujarat,India,380013,1
345,Navagam,Ahmedabad,Gujarat,India,382130,1
346,Navapura,Ahmedabad,Gujarat,India,382210,1
347,Navda,Ahmedabad,Gujarat,India,382450,1
348,Navi Ranip,Ahmedabad,Gujarat,India,382480,1
349,Navjivan,Ahmedabad,Gujarat,India,380014,1
350,Navrangpura,Ahmedabad,Gujarat,India,380009,1
351,Nayakpur,Ahmedabad,Gujarat,India,382130,1
352,Nedharad,Ahmedabad,Gujarat,India,382115,1
353,Nesda,Ahmedabad,Gujarat,India,382225,1
354,Nikol,Ahmedabad,Gujarat,India,382350,1
355,Nirnaynagar,Ahmedabad,Gujarat,India,382481,1
356,Noblenagar,Ahmedabad,Gujarat,India,382340,1
357,O N G C,Ahmedabad,Gujarat,India,380005,1
358,Ode,Ahmedabad,Gujarat,India,382427,1
359,Odhav,Ahmedabad,Gujarat,India,382415,1
360,Odhav GIDC,Ahmedabad,Gujarat,India,382415,1
361,Odhav Industrial Estate,Ahmedabad,Gujarat,India,382415,1
362,Ogan,Ahmedabad,Gujarat,India,382150,1
363,Ognaj,Ahmedabad,Gujarat,India,380060,1
364,Otaria,Ahmedabad,Gujarat,India,382463,1
365,Otaria Sarvodaya Ashram,Ahmedabad,Gujarat,India,382463,1
366,Padana,Ahmedabad,Gujarat,India,382460,1
367,Paldi,Ahmedabad,Gujarat,India,380007,1
368,Paldi Kankaj,Ahmedabad,Gujarat,India,382425,1
369,Panar,Ahmedabad,Gujarat,India,382140,1
370,Panchham,Ahmedabad,Gujarat,India,382465,1
371,Panchhi,Ahmedabad,Gujarat,India,382455,1
372,Pandharpura,Ahmedabad,Gujarat,India,382140,1
373,Parabadi,Ahmedabad,Gujarat,India,382250,1
374,Pardhol,Ahmedabad,Gujarat,India,382330,1
375,Pasunj,Ahmedabad,Gujarat,India,382430,1
376,Pimpan,Ahmedabad,Gujarat,India,382110,1
377,Piplaj,Ahmedabad,Gujarat,India,382315,1
378,Pipli,Ahmedabad,Gujarat,India,382465,1
379,Pirana,Ahmedabad,Gujarat,India,382405,1
380,Pisawada,Ahmedabad,Gujarat,India,382265,1
381,Polarpur,Ahmedabad,Gujarat,India,382250,1
382,Polytechnic,Ahmedabad,Gujarat,India,380015,1
383,Prahlad Nagar,Ahmedabad,Gujarat,India,380015,1
384,Public Office,Ahmedabad,Gujarat,India,380016,1
385,Rahemalpur,Ahmedabad,Gujarat,India,382150,1
386,Raikhad,Ahmedabad,Gujarat,India,380001,1
387,Railway Colony,Ahmedabad,Gujarat,India,380019,1
388,Railwaypura,Ahmedabad,Gujarat,India,380002,1
389,Raipur,Ahmedabad,Gujarat,India,380001,1
390,Rajoda,Ahmedabad,Gujarat,India,382220,1
391,Rajpur Gomtipur,Ahmedabad,Gujarat,India,380021,1
392,Rajpura,Ahmedabad,Gujarat,India,382245,1
393,Rakhial,Ahmedabad,Gujarat,India,380023,1
394,Rakhial Udyog Vistar,Ahmedabad,Gujarat,India,380023,1
395,Rakhiana,Ahmedabad,Gujarat,India,382130,1
396,Ramol,Ahmedabad,Gujarat,India,382449,1
397,Rampur,Ahmedabad,Gujarat,India,382225,1
398,Rampura,Ahmedabad,Gujarat,India,382450,1
399,Rampura,Ahmedabad,Gujarat,India,382140,1
400,Ranesar,Ahmedabad,Gujarat,India,382220,1
401,Rangpur,Ahmedabad,Gujarat,India,382150,1
402,Ranip,Ahmedabad,Gujarat,India,382480,1
403,Ranoda,Ahmedabad,Gujarat,India,382225,1
404,Ranodra,Ahmedabad,Gujarat,India,382433,1
405,Ranpur,Ahmedabad,Gujarat,India,382245,1
406,Rasam,Ahmedabad,Gujarat,India,382220,1
407,Rayka,Ahmedabad,Gujarat,India,382460,1
408,Raysan,Ahmedabad,Gujarat,India,382421,1
